Frequency (Hz),N,M,L,Absorption (dB/km),2_ Absorption ,Refraction,2_ Refraction,Pressure (bars),2_ Pressure ,Temperature K,2_ Temperature ,2_ Dielectric,2_ Transmissivity,2_ Instrumentation _wave ,Argon Refrac,2_ Refraction Ar,T Argon K,P Argon (bars) ,Ideal H2O conc,Ideal He conc,Ideal H2 conc,H2O Hygrometer Partial Pressure (mbars),2_ Hygrometer ,H2 density (g/m**3),He density (g/m**3),H2O density (g/m**3),X H2O ,X He mole fraction,X H2 mole fraction,Quality Flag
2228942915,0,1,3,0.099940183,0.082994315,994.2240514,0.649921544,0.328,0.001178066,376.1708333,0.901006944,1.75698E-05,0.082911124,0.001208407,993.4189901,0.649968326,376.2,3.9959,1,0,0,NaN,0,0,0,189.8130031,1,0,0,0
3085088074,0,2,3,0.114667932,0.167374685,992.4561981,0.649918586,0.328,0.001178066,376.1708333,0.901006944,1.79408E-05,0.167230223,0.000602355,991.458235,0.649921365,376.25,3.9965,1,0,0,NaN,0,0,0,189.8130031,1,0,0,0
3446407750,0,2,4,0.159041781,0.2003346,994.1423622,0.649947364,0.328,0.001178066,376.1708333,0.901006944,4.7999E-07,0.200323199,0.000869244,994.9392417,0.649942535,376.15,3.9965,1,0,0,NaN,0,0,0,189.8130031,1,0,0,0
4315144414,0,2,6,0.157013698,0.365404022,995.927798,0.650022375,0.328,0.001178066,376.1708333,0.901006944,6.23695E-06,0.362599875,0.001966527,995.7737681,0.650007506,376.1,3.996,1,0,0,NaN,0,0,0,189.8130031,1,0,0,0
5076534763,0,3,6,0.194386696,0.163689382,993.9845227,0.650272858,0.328,0.001178066,376.1708333,0.901006944,2.64627E-06,0.163370014,0.002207933,994.0852031,0.650135185,376.2,3.997,1,0,0,NaN,0,0,0,189.8130031,1,0,0,0
5297193269,0,2,8,0.371494992,0.463371333,994.8036853,0.650462005,0.328,0.001178066,376.1708333,0.901006944,2.98697E-06,0.449385888,0.002935584,994.8815397,0.651073544,376.2,3.9965,1,0,0,NaN,0,0,0,189.8130031,1,0,0,0
5933893068,0,3,8,0.385985508,0.272394586,995.9167841,0.650310766,0.328,0.001178066,376.1708333,0.901006944,1.34123E-05,0.268974321,0.002930237,995.8521416,0.650242672,376.1,3.997,1,0,0,NaN,0,0,0,189.8130031,1,0,0,0
1505386965,0,1,1,0.012545103,0.021120351,2051.588393,0.650824949,11.37257894,0.041367899,376.2166667,0.901022222,1.84366E-06,0.021119299,0.000177161,2051.65569,0.650825277,376.25,9.33585,0.028841303,0.131106424,0.840052273,NaN,0,611.635142,189.5285675,189.8130031,0.029162699,0.131063036,0.839774266,0
1809852094,0,1,2,0.012781067,0.0707913,2054.112594,0.650823061,11.37257894,0.041367899,376.2166667,0.901022222,1.73319E-06,0.070779579,0.000634432,2053.308358,0.650853009,376.3,9.336,0.028841303,0.131106424,0.840052273,NaN,0,611.635142,189.5285675,189.8130031,0.029162699,0.131063036,0.839774266,0
2226578589,0,1,3,0.053340834,0.099957117,2055.033071,0.650860652,11.37257894,0.041367899,376.2166667,0.901022222,4.33174E-07,0.099656698,0.001241702,2054.967365,0.65089331,376.3,9.334,0.028841303,0.131106424,0.840052273,NaN,0,611.635142,189.5285675,189.8130031,0.029162699,0.131063036,0.839774266,0
2795601734,0,2,2,0.062186963,0.059328769,2051.870609,0.650837423,11.37257894,0.041367899,376.2166667,0.901022222,6.91701E-08,0.059276157,0.000327304,2051.913765,0.650834538,376.25,9.337,0.028841303,0.131106424,0.840052273,NaN,0,611.635142,189.5285675,189.8130031,0.029162699,0.131063036,0.839774266,0
