      fo_rot	      Io_rot	      Eo_rot	    gNH3_rot	      gH2_rot	     gHe_rot
  3.1987633e+002  6.5823246e-028  1.0695644e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.2019567e+002  1.0456330e-027  1.0691529e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.2237312e+002  1.0047992e-027  8.7382310e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.2273562e+002  1.6915284e-027  8.7335690e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.2466317e+002  1.3175870e-027  6.9712370e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.2506970e+002  2.3522274e-027  6.9660200e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.2673391e+002  1.4621075e-027  5.3962840e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.2718436e+002  2.7661727e-027  5.3905160e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.2857358e+002  1.3427010e-027  4.0148440e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.2906670e+002  2.6864533e-027  4.0085450e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.3017147e+002  9.8691397e-028  2.8282330e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.3070468e+002  2.0800764e-027  2.8214380e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.3151858e+002  5.4749392e-028  1.8375960e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.3208747e+002  1.2091475e-027  1.8303570e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.5397159e+002  1.5663157e-026  5.7998650e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.6073030e+002  1.6507424e-026  5.8067760e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.7249816e+002  1.0241871e-020  0.0000000e+000  1.8947000e+001  2.0985000e+000  9.2940000e-001
  9.4317525e+002  7.0954394e-026  1.4999724e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  9.5289585e+002  1.5267900e-025  1.2661440e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  9.6027203e+002  2.6054293e-025  1.0517566e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  9.6820135e+002  4.4758889e-025  7.5759210e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  9.6898775e+002  4.3060523e-025  8.5538540e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  9.7390725e+002  4.5559536e-025  7.5820920e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  9.7481798e+002  5.3675895e-025  6.7904340e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  9.8245456e+002  6.4502908e-025  5.2082860e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  9.8662541e+002  5.4234957e-025  3.8318410e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  9.9306737e+002  4.1781045e-025  2.6372330e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  9.9549184e+002  1.9014254e-025  1.6529450e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.0367163e+003  3.2261109e-025  6.2027230e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.0415653e+003  3.2807965e-025  6.2089970e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.1050113e+003  4.1217277e-025  4.9524180e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.1090251e+003  4.1915948e-025  4.9588280e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.1684524e+003  2.8266973e-020  1.6169900e+001  1.0822800e+001  2.9231000e+000  1.0562000e+000
  1.1733830e+003  9.1786603e-025  3.8252510e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.1765503e+003  9.3471518e-025  3.8318410e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.2148529e+003  8.0108629e-020  1.9096500e+001  7.1952000e+000  2.6023000e+000  1.0058000e+000
  1.2152457e+003  3.0582945e-020  1.5379600e+001  1.7478300e+001  2.8271000e+000  1.0562000e+000
  1.5847317e+003  1.9592024e-024  9.5485760e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.5915758e+003  2.8799125e-025  1.2413132e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.6036563e+003  4.9691179e-025  1.0267422e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.6053400e+003  5.0872057e-025  1.0262851e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.6162292e+003  7.5262614e-025  8.3066470e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.6181411e+003  7.7264375e-025  8.3014690e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.6299071e+003  9.9192605e-025  6.5307730e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.7635244e+003  2.0011484e-019  5.9619600e+001  9.9234000e+000  2.3864000e+000  9.3480000e-001
  1.7636012e+003  9.0506401e-020  5.5915800e+001  9.9234000e+000  2.3864000e+000  9.3480000e-001
  1.7638232e+003  5.9590811e-020  4.4793900e+001  2.3294500e+001  2.7222000e+000  1.0205000e+000
  1.7734985e+003  4.9326386e-024  5.2082860e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  1.8089346e+003  9.5253139e-020  5.5145300e+001  1.2141900e+001  2.5483000e+000  9.7760000e-001
  1.8103800e+003  6.2802842e-020  4.4002600e+001  1.9547000e+001  2.8121000e+000  1.0205000e+000
  1.9766109e+003  6.1035049e-024  1.9850050e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.2511451e+003  1.8229691e-024  9.9447430e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.2536257e+003  1.8500322e-024  9.9397980e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.2688718e+003  2.6422828e-024  7.9814160e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.2716967e+003  2.6864533e-024  7.9758120e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.2851197e+003  3.1657695e-024  6.2089970e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.2883055e+003  3.2246256e-024  6.2027230e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.2998403e+003  2.9976388e-024  4.6291380e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.3033442e+003  3.0589987e-024  4.6221980e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.3167593e+003  2.0954596e-024  3.2357560e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.3572099e+003  1.6367385e-019  1.1548490e+002  1.1782100e+001  2.1736000e+000  9.1350000e-001
  2.3577284e+003  1.3793653e-019  1.0439030e+002  1.5409700e+001  2.3924000e+000  9.4890000e-001
  2.3585661e+003  1.7558172e-019  8.5864400e+001  1.9517000e+001  2.7102000e+000  9.8420000e-001
  2.3712780e+003  1.3127417e-023  6.7849450e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.3733179e+003  1.3206243e-023  6.7904340e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.4000208e+003  3.5586010e-019  1.1844450e+002  1.0403100e+001  2.1046000e+000  8.7810000e-001
  2.4005788e+003  1.6977717e-019  1.1474320e+002  1.1572300e+001  2.2575000e+000  9.1350000e-001
  2.4022660e+003  1.4324494e-019  1.0362870e+002  1.5559600e+001  2.5633000e+000  9.4890000e-001
  2.4051213e+003  1.8263302e-019  8.5068200e+001  1.8917400e+001  2.6622000e+000  9.8420000e-001
  2.4349157e+003  7.7299965e-024  5.3905160e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.4364524e+003  7.7871636e-024  5.3962840e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.5005788e+003  7.7157704e-024  4.1183100e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.5014124e+003  7.8033178e-024  4.1244440e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.5685154e+003  2.4625173e-023  2.9684840e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.6383238e+003  3.6964029e-024  1.9481790e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.6390912e+003  3.4393732e-024  1.9411290e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.7937396e+003  4.8593625e-024  1.4043607e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.7969074e+003  4.8705645e-024  1.4047693e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.8494238e+003  4.4738281e-024  1.2092877e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.8521338e+003  4.4841414e-024  1.2097188e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.8541102e+003  2.9449593e-024  1.4047693e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.8555338e+003  2.9646901e-024  1.4043607e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.8796069e+003  5.6257353e-024  1.1704421e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.8832866e+003  5.6895681e-024  1.1699677e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.9049532e+003  9.1659883e-024  9.5485760e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.9067041e+003  7.4744510e-024  1.0262851e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.9079765e+003  9.2657227e-024  9.5431320e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.9089365e+003  7.4951322e-024  1.0267422e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.9276453e+003  1.2364578e-023  7.5820920e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.9317673e+003  1.2527929e-023  7.5759210e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.9483953e+003  4.4002697e-019  1.9850050e+002  1.1182500e+001  1.8767000e+000  8.3580000e-001
  2.9486687e+003  2.1492122e-019  1.9481790e+002  1.1182500e+001  1.8767000e+000  8.3580000e-001
  2.9494824e+003  1.9809764e-019  1.8375960e+002  1.6189200e+001  2.2635000e+000  8.9160000e-001
  2.9508198e+003  3.2929057e-019  1.6529450e+002  1.6249200e+001  2.4164000e+000  9.1950000e-001
  2.9526384e+003  1.0463556e-019  1.3936980e+002  2.0026600e+001  2.5603000e+000  9.4740000e-001
  2.9657756e+003  2.2448085e-023  8.5538540e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.9677228e+003  2.2510197e-023  8.5586500e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.9679348e+003  1.0260755e-023  4.2242960e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.9728490e+003  1.0425078e-023  4.2166490e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  2.9896425e+003  2.2099340e-019  1.9411290e+002  1.2081900e+001  1.9937000e+000  8.6370000e-001
  2.9915552e+003  2.0388219e-019  1.8303570e+002  1.4300500e+001  2.2425000e+000  8.9160000e-001
  2.9947864e+003  3.3929644e-019  1.6453770e+002  1.6878700e+001  2.4314000e+000  9.1950000e-001
  2.9994301e+003  1.0801381e-019  1.3856460e+002  1.9067300e+001  2.5543000e+000  9.4740000e-001
  3.0272722e+003  1.4899761e-023  6.9660200e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.0284320e+003  1.4965089e-023  6.9712370e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.0917502e+003  1.7186178e-023  5.5052700e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.1578624e+003  6.5475571e-023  4.1609440e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.2990826e+003  4.0736086e-025  2.1213282e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.3000234e+003  5.2080998e-024  1.8375960e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.3018761e+003  5.5587776e-024  1.8303570e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.3767368e+003  2.9578715e-024  8.5864400e+001  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.3971043e+003  4.3850979e-024  1.6576342e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.4464937e+003  4.4645665e-024  1.4433121e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.5005236e+003  8.2885640e-024  1.2413132e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.5022942e+003  8.3000230e-024  1.2417117e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.5029952e+003  3.2253682e-024  1.3585358e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.5064233e+003  3.2499696e-024  1.3580782e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.5373810e+003  2.2453254e-019  2.9383660e+002  1.1032600e+001  1.8468000e+000  8.2830000e-001
  3.5384825e+003  2.1626154e-019  2.8282330e+002  1.2711500e+001  1.9337000e+000  8.4870000e-001
  3.5403013e+003  3.9790491e-019  2.6443330e+002  1.5289800e+001  2.2125000e+000  8.6910000e-001
  3.5428277e+003  1.6644827e-019  2.3861490e+002  1.7478300e+001  2.3744000e+000  8.8950000e-001
  3.5459902e+003  1.0712215e-019  2.0529410e+002  1.9636900e+001  2.4374000e+000  9.0990000e-001
  3.5749049e+003  4.6395867e-019  2.9684840e+002  9.6236000e+000  1.7718000e+000  8.0800000e-001
  3.5756108e+003  2.2949821e-019  2.9317490e+002  1.0732800e+001  1.8708000e+000  8.2830000e-001
  3.5777419e+003  2.2114611e-019  2.8214380e+002  1.3281100e+001  2.0177000e+000  8.4870000e-001
  3.5813468e+003  4.0745467e-019  2.6372330e+002  1.5499700e+001  2.1915000e+000  8.6910000e-001
  3.5864747e+003  1.7067869e-019  2.3785930e+002  1.7298500e+001  2.3504000e+000  8.8950000e-001
  3.5932563e+003  1.1004728e-019  2.0447580e+002  1.9247200e+001  2.3954000e+000  9.0990000e-001
  3.6161793e+003  2.0791188e-023  8.7335690e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.6170255e+003  2.0843915e-023  8.7382310e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.6209240e+003  9.2870824e-024  5.3287590e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.6267714e+003  9.4054439e-024  5.3210100e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.6510478e+003  4.6599290e-024  3.7345590e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.6784991e+003  2.7194388e-023  7.0744510e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.6787958e+003  2.7313622e-023  7.0795330e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.7442458e+003  1.2030379e-022  5.5359970e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.8128726e+003  2.7408123e-023  4.1244440e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.8139719e+003  2.6398503e-023  4.1183100e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.8859408e+003  1.6431579e-023  2.8282330e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.8879219e+003  1.7269481e-023  2.8214380e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.9665698e+003  2.1344171e-023  1.6453770e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.9907481e+003  3.0554790e-024  1.9285289e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.0803337e+003  1.2533700e-024  1.8305797e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.0900821e+003  7.1265494e-024  1.4750398e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
