	fo		Io 		Eo	     gammaNH3o 	     H2HeBroad
  3.4547640e-001  2.0657573e-038  5.5959632e+003  1.4051737e+001  2.1054946e+000
  6.0702160e-001  5.4197505e-039  6.0135590e+003  1.4051737e+001  2.1054946e+000
  6.2657370e-001  1.0918910e-038  5.6566693e+003  1.4051737e+001  2.1054946e+000
  6.8051520e-001  2.3311987e-038  5.6294043e+003  1.4051737e+001  2.1054946e+000
  6.9515150e-001  1.1810800e-038  5.9682291e+003  1.4051737e+001  2.1054946e+000
  7.4666740e-001  6.9739575e-039  5.2624191e+003  1.4051737e+001  2.1054946e+000
  7.6853580e-001  3.0979849e-038  5.2532561e+003  1.4051737e+001  2.1054946e+000
  8.0958260e-001  5.3159305e-038  5.9165705e+003  1.4051737e+001  2.1054946e+000
  8.2246590e-001  7.2942274e-039  6.2698714e+003  1.4051737e+001  2.1054946e+000
  8.4506700e-001  1.0358081e-037  5.5562599e+003  1.4051737e+001  2.1054946e+000
  8.5348850e-001  1.8551511e-037  5.2164604e+003  1.4051737e+001  2.1054946e+000
  9.2759280e-001  3.9571207e-037  5.1887870e+003  1.4051737e+001  2.1054946e+000
  9.6343350e-001  6.2759474e-038  5.8584716e+003  1.4051737e+001  2.1054946e+000
  9.6727650e-001  2.2499833e-037  5.5102303e+003  1.4051737e+001  2.1054946e+000
  1.0021059e+000  1.0601792e-037  4.8387012e+003  1.4051737e+001  2.1054946e+000
  1.0144469e+000  3.7868604e-038  6.1996372e+003  1.4051737e+001  2.1054946e+000
  1.0311982e+000  4.7073804e-037  4.8294042e+003  1.4051737e+001  2.1054946e+000
  1.1274139e+000  1.0124633e-036  5.4577676e+003  1.4051737e+001  2.1054946e+000
  1.1279070e+000  6.3107256e-039  6.5336733e+003  1.4051737e+001  2.1054946e+000
  1.1480579e+000  2.8266973e-036  4.7920869e+003  1.4051737e+001  2.1054946e+000
  1.1528924e+000  1.7550088e-036  5.1145449e+003  1.4051737e+001  2.1054946e+000
  1.1631937e+000  1.5402077e-037  5.7938044e+003  1.4051737e+001  2.1054946e+000
  1.1727670e+000  2.4075721e-038  6.0526457e+003  1.4051737e+001  2.1054946e+000
  1.2231558e+000  1.9837151e-035  4.7295656e+003  1.4051737e+001  2.1054946e+000
  1.2471163e+000  6.0142198e-036  4.7640086e+003  1.4051737e+001  2.1054946e+000
  1.2682171e+000  5.1271886e-038  6.1226511e+003  1.4051737e+001  2.1054946e+000
  1.2793076e+000  2.5833265e-036  5.1548344e+003  1.4051737e+001  2.1054946e+000
  1.3187357e+000  3.8025882e-036  5.0678177e+003  1.4051737e+001  2.1054946e+000
