      fo_v2	      Io_v2	      Eo_v2
  2.1922322e+001  1.4076001e-036  6.1906692e+003
  2.7077046e+001  2.5355916e-038  7.0846708e+003
  2.9738149e+001  5.3367800e-039  7.5068014e+003
  3.3206829e+001  2.3242310e-038  7.4737222e+003
  3.4114590e+001  8.1297894e-039  7.0997465e+003
  3.6678604e+001  2.3915491e-038  7.4344633e+003
  3.7647246e+001  4.9417332e-038  7.0632784e+003
  3.8971050e+001  1.2840422e-038  7.8256153e+003
  4.0570488e+001  1.0494924e-037  7.0358847e+003
  4.1554435e+001  5.0930659e-038  7.3889217e+003
  4.4231842e+001  4.3139916e-037  7.0022713e+003
  4.4544853e+001  3.2039025e-038  6.6542360e+003
  4.5723513e+001  1.4176835e-037  6.6450078e+003
  4.6599091e+001  1.5089655e-038  7.7681526e+003
  4.7800507e+001  2.2150284e-037  7.3369954e+003
  4.9032125e+001  4.4512224e-037  6.9623581e+003
  5.0084840e+001  8.4116133e-037  6.6079859e+003
  5.3804589e+001  1.7643279e-036  6.5801432e+003
  5.5151598e+001  9.2934999e-037  6.9160541e+003
  5.5676839e+001  2.4636516e-037  7.2785662e+003
  5.5851874e+001  3.5635208e-038  7.7041856e+003
  5.8243876e+001  4.8381496e-037  6.2150806e+003
  5.8548308e+001  7.1924905e-036  6.5459744e+003
  5.9697927e+001  2.1299985e-036  6.2056975e+003
  6.2987519e+001  3.9726408e-036  6.8632459e+003
  6.4851715e+001  7.3685035e-036  6.5053992e+003
  6.5436652e+001  1.2579961e-035  6.1681006e+003
  6.5639135e+001  5.6309192e-037  7.2134935e+003
  6.7055765e+001  1.6973808e-037  7.6335608e+003
  6.8596721e+001  4.1512539e-039  8.2093146e+003
  7.0231645e+001  2.6222814e-035  6.1398041e+003
  7.2859191e+001  1.5299573e-035  6.4583155e+003
  7.3011976e+001  4.3699785e-036  6.8038033e+003
  7.4996404e+001  6.4726079e-036  5.7915930e+003
  7.6093877e+001  1.0082757e-033  5.3585726e+003
  7.6589875e+001  1.0692501e-034  6.1050751e+003
  7.6817722e+001  2.8403986e-035  5.7820537e+003
  7.8222803e+001  2.6489838e-036  7.1416140e+003
  8.0712230e+001  2.0496481e-037  7.5560937e+003
  8.3105090e+001  6.5114738e-035  6.4046044e+003
  8.4047367e+001  2.0534271e-038  8.1398231e+003
  8.4323658e+001  1.6771785e-034  5.7438701e+003
  8.4581758e+001  1.0863738e-034  6.0638274e+003
  8.5762940e+001  9.9215448e-036  6.7375773e+003
  9.0440275e+001  3.4808018e-034  5.7151170e+003
  9.1755573e+001  9.1617681e-039  8.4235041e+003
  9.4307385e+001  3.2261109e-036  7.0627312e+003
  9.4951731e+001  2.2479120e-034  6.0159537e+003
  9.5307226e+001  7.7371194e-035  5.3840234e+003
  9.6153569e+001  7.1347588e-035  6.3441277e+003
  9.7575050e+001  3.2231409e-036  6.6288143e+003
  9.7582546e+001  3.3874999e-034  5.3743269e+003
  9.7717632e+001  5.0731686e-037  7.4715609e+003
  9.8362072e+001  1.4085728e-033  5.6798235e+003
  1.0128060e+002  2.4698996e-038  8.0636389e+003
  1.0207383e+002  4.6695959e-035  6.6643908e+003
  1.0434884e+002  3.5783210e-038  7.5534111e+003
  1.0723030e+002  2.0011484e-033  5.3355491e+003
  1.0817509e+002  9.5362867e-034  5.9613273e+003
  1.0878634e+002  1.4324494e-033  5.6378967e+003
  1.1208827e+002  3.0004010e-034  5.7656846e+003
  1.1281050e+002  1.6187482e-034  6.2767229e+003
  1.1493192e+002  4.1397994e-033  5.3063369e+003
  1.1522901e+002  8.1974598e-036  6.9766100e+003
  1.1945878e+002  2.6036302e-036  7.3797004e+003
  1.1957173e+002  8.2866557e-034  4.9926246e+003
  1.2046799e+002  5.8476221e-038  7.9805492e+003
  1.2200998e+002  2.9565096e-033  5.5892241e+003
  1.2239217e+002  3.6197560e-033  4.9827696e+003
  1.2314828e+002  5.7237321e-035  6.5840335e+003
  1.2502359e+002  1.0437087e-033  5.8997994e+003
  1.2509170e+002  1.6752487e-032  5.2704738e+003
  1.3417249e+002  7.6327194e-034  6.2021994e+003
  1.3459508e+002  2.1432819e-032  4.9433923e+003
  1.3804855e+002  1.6954278e-032  5.2278630e+003
  1.3885175e+002  1.2519278e-032  5.5336703e+003
  1.4014181e+002  3.0540722e-024  9.8337730e+002
  1.4213873e+002  2.7629899e-037  7.8903045e+003
  1.4251416e+002  1.5093129e-031  4.5912262e+003
  1.4290557e+002  4.3729982e-035  6.8829746e+003
  1.4417534e+002  4.4236351e-032  4.9137187e+003
  1.4652155e+002  2.3674417e-033  5.8311954e+003
  1.4774460e+002  2.6162503e-032  4.9661001e+003
  1.4788930e+002  3.4984792e-036  7.2802150e+003
  1.4812564e+002  7.9593811e-033  4.6176494e+003
  1.5071580e+002  1.4691945e-034  6.4962559e+003
  1.5158897e+002  3.4695991e-032  4.6076339e+003
  1.5468340e+002  3.4928449e-032  5.1783832e+003
  1.5669736e+002  1.7839361e-031  4.8772836e+003
  1.6028238e+002  1.3689239e-032  5.4710759e+003
  1.6179275e+002  9.3924588e-034  6.1203313e+003
  1.6682217e+002  2.0633804e-031  4.5676532e+003
  1.6722677e+002  3.3050596e-037  7.7926295e+003
  1.7179103e+002  5.6231452e-039  8.6597557e+003
  1.7293437e+002  1.8054244e-031  4.8339823e+003
  1.7409197e+002  1.1183540e-032  5.7553094e+003
  1.7584579e+002  1.4776763e-031  5.1218906e+003
  1.7860274e+002  4.2518633e-031  4.5375166e+003
  1.7992556e+002  6.1500592e-035  6.7815080e+003
  1.8121386e+002  6.8513996e-032  4.2593506e+003
  1.8542337e+002  2.9804325e-031  4.2491707e+003
  1.8559383e+002  9.9055660e-036  7.1727762e+003
  1.8716109e+002  7.9282858e-034  6.4007652e+003
  1.8762131e+002  3.1065568e-032  5.4012525e+003
  1.9360451e+002  3.7160307e-031  4.7836873e+003
  1.9408169e+002  1.7142703e-030  4.5005056e+003
  1.9714645e+002  8.1279177e-037  7.6872330e+003
  1.9782240e+002  2.4220288e-033  6.0308519e+003
  2.0275826e+002  1.6153971e-031  5.0582137e+003
  2.0425512e+002  1.7880485e-030  4.2085846e+003
  2.0573926e+002  1.8364508e-030  4.2321267e+003
  2.0761639e+002  6.7542837e-039  8.5845323e+003
  2.0968411e+002  1.3800007e-032  5.6718982e+003
  2.1395721e+002  1.7321253e-030  4.4565100e+003
  2.1857808e+002  3.6811143e-030  4.1779841e+003
  2.1886883e+002  5.2550796e-031  3.9179845e+003
  2.1987743e+002  1.5717349e-030  4.7262444e+003
  2.2264911e+002  1.4698713e-031  5.3239779e+003
  2.2393090e+002  2.2776097e-030  3.9076303e+003
  2.2537937e+002  1.1646067e-029  3.8906210e+003
  2.2966670e+002  1.8259097e-034  6.6718490e+003
  2.3396893e+002  4.1684951e-036  7.5738066e+003
  2.3567204e+002  1.1268842e-033  6.2972211e+003
  2.3592776e+002  5.9303360e-035  7.0570170e+003
  2.3705514e+002  3.6701118e-031  4.9871501e+003
  2.3734552e+002  1.4827888e-029  4.1403959e+003
  2.3933912e+002  3.5643414e-030  4.4053928e+003
  2.4424372e+002  1.5466046e-038  8.5025375e+003
  2.4518078e+002  1.3124395e-032  5.9334469e+003
  2.4713954e+002  1.3959803e-029  3.8664387e+003
  2.5325287e+002  1.7194094e-030  4.6614700e+003
  2.5594961e+002  3.5692691e-032  5.5806740e+003
  2.6032273e+002  3.4346248e-030  3.5938294e+003
  2.6153744e+002  1.4985778e-029  4.0957019e+003
  2.6435784e+002  2.8732889e-029  3.8353744e+003
  2.6634366e+002  1.4759760e-029  3.5832622e+003
  2.6777667e+002  1.8179390e-031  5.2389892e+003
  2.7156864e+002  1.5082707e-029  4.3469897e+003
  2.8046726e+002  6.8199203e-038  8.4135393e+003
  2.8074924e+002  5.6595161e-036  7.4519997e+003
  2.8093385e+002  1.7393192e-030  4.9084597e+003
  2.8693790e+002  1.1573889e-028  3.7972082e+003
  2.8720418e+002  9.3730147e-029  3.5657961e+003
  2.9234284e+002  3.0851714e-029  4.0437572e+003
  2.9558595e+002  9.8260574e-029  3.5414672e+003
  2.9573283e+002  3.9109233e-030  4.5891456e+003
  2.9652462e+002  1.1444038e-033  6.5535814e+003
  3.0045374e+002  3.3765975e-033  6.1852279e+003
  3.0332586e+002  9.4097763e-035  6.9325087e+003
  3.0777382e+002  1.8718856e-032  5.8277477e+003
  3.1246309e+002  1.6515027e-029  4.2811035e+003
  3.1514626e+002  7.3110423e-038  8.3172943e+003
  3.1596040e+002  1.1699823e-028  3.7518148e+003
  3.1605288e+002  2.0224570e-028  3.5099409e+003
  3.1646034e+002  1.9403465e-031  5.4812971e+003
  3.2532815e+002  1.4868916e-029  3.2864729e+003
  3.2625089e+002  4.7160597e-031  5.1459750e+003
  3.2688129e+002  5.4711585e-028  3.2587468e+003
  3.3141706e+002  1.3064094e-028  3.9843857e+003
  3.3241075e+002  6.9084290e-029  3.2763147e+003
  3.3734022e+002  2.1561516e-030  4.8218576e+003
  3.4201908e+002  1.6534052e-035  7.3213722e+003
  3.4286536e+002  8.1485305e-028  3.4711982e+003
  3.4731338e+002  1.5394986e-037  8.2135675e+003
  3.4953663e+002  6.2356151e-028  3.2339211e+003
  3.4998602e+002  1.8568606e-029  4.5090119e+003
  3.5291763e+002  2.4097906e-028  3.6990394e+003
  3.6443420e+002  3.7625242e-029  4.2074990e+003
  3.6926850e+002  1.3588743e-028  2.9976424e+003
  3.7359419e+002  1.2837466e-027  3.2019362e+003
  3.7654159e+002  6.4443526e-037  8.1021379e+003
  3.7733547e+002  8.2409883e-028  3.4251060e+003
  3.7750832e+002  6.0405891e-028  2.9870343e+003
  3.8093044e+002  1.4324494e-028  3.9173758e+003
  3.8637523e+002  1.8926892e-033  6.4262089e+003
  3.8710290e+002  2.1344171e-032  6.0643186e+003
  3.9082299e+002  5.6257353e-032  5.7133185e+003
  3.9154849e+002  3.3012567e-027  2.9691211e+003
  3.9391232e+002  3.1759912e-034  6.7987228e+003
  3.9600931e+002  2.7751042e-031  5.3733648e+003
  3.9974139e+002  1.0218315e-027  3.6386938e+003
  4.0243000e+002  2.5708651e-030  5.0445653e+003
  4.0363245e+002  6.8262045e-037  7.9827696e+003
  4.0510126e+002  5.1746299e-027  3.1626208e+003
  4.0873767e+002  3.5692691e-027  2.9440500e+003
  4.1021769e+002  5.6089207e-030  4.7270058e+003
  4.1956998e+002  2.3082311e-029  4.4207604e+003
  4.2116849e+002  1.6989449e-027  3.3714995e+003
  4.2455208e+002  1.0550652e-034  7.1813397e+003
  4.2502169e+002  7.2256895e-028  2.7264710e+003
  4.3068268e+002  1.7905205e-028  4.1258962e+003
  4.3144428e+002  1.5034164e-036  7.8551459e+003
  4.3450315e+002  3.1877136e-027  2.7156656e+003
  4.3670375e+002  7.3498639e-027  2.9116123e+003
  4.4375255e+002  3.2702375e-028  3.8424746e+003
  4.4555789e+002  5.2369605e-027  3.1158336e+003
  4.4653338e+002  1.6480838e-026  2.6975797e+003
  4.5899151e+002  1.1222233e-027  3.5705515e+003
